kanji,ka_name,ka_examples,onyomi,kunyomi,nanori,english,jlpt,strokes,usage_freq_2500,grade,radicals
割,wa(ru),"[ [ ""割愛する（かつあいする）"", ""omit, leave out, spare"" ], [ ""分割する（ぶんかつする）"", ""partition, divide, separate"" ], [ ""割る（わる）"", ""divide, break, crack [v.t.]"" ], [ ""割れる（われる）"", ""break, split, crack [v.i.]"" ], [ ""割り勘（わりかん）"", ""shared expenses"" ], [ ""割り算（わりざん）"", ""division"" ], [ ""割り引く（わりびく）"", ""discount [v.t.]"" ], [ ""割合（わりあい）"", ""rate, ratio, proportion"" ], [ ""一割（いちわり）"", ""ten percent"" ], [ ""役割（やくわり）"", ""part, role, duties"" ], [ ""割と（わりと）"", ""relatively, comparatively"" ], [ ""割く（さく）"", ""split, rend, cut, spare (time)"" ] ]",カツ,"わ.る, わり, わ.り, わ.れる, さ.く",,"proportion, comparatively, divide, cut, separate, split",2.0,12.0,318.0,6.0,"刈, 口, 土, 宀, 亠, 二"
株,kabu(shiki),"[ [ ""株（かぶ）"", ""share, stock, stump"" ], [ ""株式（かぶしき）"", ""stock [n.]"" ], [ ""株価（かぶか）"", ""stock prices"" ], [ ""株券（かぶけん）"", ""stock certificate"" ], [ ""株主（かぶぬし）"", ""shareholder, stockholder"" ], [ ""株主総会（かぶぬしそうかい）"", ""general meeting of stockholders"" ], [ ""株式会社（かぶしきがいしゃ）"", ""stock company, corporation"" ], [ ""株分け（かぶわけ）"", ""root division"" ], [ ""切り株（きりかぶ）"", ""stump, stubble"" ] ]",シュ,かぶ,,"stocks, stump, shares, stock, counter for small plants",1.0,10.0,432.0,6.0,"牛, 木"
干,kan-ho(su),"[ [ ""干満（かんまん）"", ""ebb and flow (of a tide)"" ], [ ""干潮（かんちょう）"", ""ebb tide"" ], [ ""若干（じゃっかん）"", ""some, a few [n., adv.]"" ], [ ""干渉する（かんしょうする）"", ""interfere, intervene"" ], [ ""干拓する（かんたくする）"", ""reclaim land"" ], [ ""干す（ほす）"", ""dry, drain"" ], [ ""梅干し（うめぼし）"", ""dried plum"" ], [ ""干る（ひる）"", ""dry [v.i.]"" ], [ ""干上がる（ひあがる）"", ""dry up, parch"" ], [ ""潮干狩り（しおひがり）"", ""shell gathering (at low tide)"" ] ]",カン,"ほ.す, ほ.し-, -ぼ.し, ひ.る",ほし,"dry, parch, ebb, recede, interfere, intercede",2.0,3.0,1349.0,6.0,"干, 十, 一"
巻,kan-ma(ku),"[ [ ""巻末（かんまつ）"", ""end of a book"" ], [ ""全巻（ぜんかん）"", ""the whole volume"" ], [ ""別巻（べっかん）"", ""separate volume, extra issue"" ], [ ""第一巻（だいいっかん）"", ""first volume"" ], [ ""巻く（まく）"", ""wind, coil, roll [v.t.]"" ], [ ""巻き添え（まきぞえ）"", ""get mixed up in [n.]"" ], [ ""葉巻（はまき）"", ""cigar"" ], [ ""渦巻き（うずまき）"", ""whirlpool, eddy, coil"" ], [ ""のり巻き（のりまき）"", ""Sushi roll"" ], [ ""絵巻物（えまきもの）"", ""picture scroll"" ] ]","カン, ケン","ま.く, まき, ま.き",,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)",2.0,9.0,944.0,6.0,"大, 二, 并, 已"
待,ma(tsu),"[ [ ""待機する（たいきする）"", ""stand by"" ], [ ""期待する（きたいする）"", ""hope"" ], [ ""招待する（しょうたいする）"", ""invite"" ], [ ""待つ（まつ）"", ""wait"" ], [ ""待たせる（またせる）"", ""keep (a person) waiting"" ], [ ""待ち合わせる（まちあわせる）"", ""rendezvous"" ], [ ""待合室（まちあいしつ）"", ""waiting room"" ] ]",タイ,"ま.つ, -ま.ち","まち, まつ","wait, depend on",3.0,9.0,391.0,3.0,"寸, 土, 彳"
看,kan(gofu),"[ [ ""看板（かんばん）"", ""sign, signboard, billboard"" ], [ ""看守（かんしゅ）"", ""prison guard, jailer"" ], [ ""看護婦（かんごふ）"", ""nurse"" ], [ ""看破する（かんぱする）"", ""penetrate, see through"" ], [ ""看病する（かんびょうする）"", ""nurse, attend (a sick person)"" ], [ ""看護する（かんごする）"", ""nurse, attend (a sick person)"" ] ]",カン,み.る,,"watch over, see",2.0,9.0,1060.0,6.0,"ノ, 一, 手, 二, 目"
危,abu(nai),"[ [ ""危機（きき）"", ""crisis"" ], [ ""危害（きがい）"", ""injury, harm, danger"" ], [ ""危篤（きとく）"", ""on the verge of death"" ], [ ""危惧（きぐ）"", ""fear, misgivings"" ], [ ""危険な（きけんな）"", ""dangerous, perilous, hazardous"" ], [ ""危ない（あぶない）"", ""dangerous, watch out! [adj.]"" ], [ ""危うく（あやうく）"", ""in imminent danger of, almost"" ], [ ""危うい（あやうい）"", ""dangerous, critical [adj.]"" ], [ ""危ぶむ（あやぶむ）"", ""have misgivings [v.t.]"" ] ]",キ,"あぶ.ない, あや.うい, あや.ぶむ",,"dangerous, fear, uneasy",2.0,6.0,606.0,6.0,"勹, 厂, 卩"
揮,(shi)ki(bou),"[ [ ""揮発油（きはつゆ）"", ""volatile oil"" ], [ ""指揮者（しきしゃ）"", ""conductor"" ], [ ""指揮棒（しきぼう）"", ""conductor's baton"" ], [ ""指揮する（しきする）"", ""command, direct, conduct"" ], [ ""発揮する（はっきする）"", ""demonstrate one's ability"" ] ]",キ,ふる.う,,"brandish, wave, wag, swing, shake",1.0,12.0,946.0,6.0,"車, 冖, 扎"
貴,ki-touto(i),"[ [ ""貴族（きぞく）"", ""noble, aristocrat"" ], [ ""貴社（きしゃ）"", ""your company [respectful]"" ], [ ""貴金属（ききんぞく）"", ""precious metal"" ], [ ""貴婦人（きふじん）"", ""noblewoman"" ], [ ""貴重品（きちょうひん）"", ""valuables, treasures"" ], [ ""貴重な（きちょうな）"", ""precious, valuable"" ], [ ""高貴な（こうきな）"", ""high class [adj.]"" ], [ ""貴い（たっとい/とうとい）"", ""precious, exalted, sacred [adj.]"" ], [ ""貴ぶ（たっとぶ/とうとぶ）"", ""value, prize, esteem [v.t.]"" ] ]",キ,"たっと.い, とうと.い, たっと.ぶ, とうと.ぶ","きよ, ぎ, たか, たかし, よし","precious, value, prize, esteem, honor",1.0,12.0,970.0,6.0,"｜, 一, 貝, 目, ハ, 口"
郷,(ko)kyou,"[ [ ""郷里（きょうり）"", ""birth-place, home town"" ], [ ""郷土（きょうど）"", ""native place, birth-place"" ], [ ""郷愁（きょうしゅう）"", ""nostalgia, homesickness"" ], [ ""故郷（こきょう）"", ""home town, native place"" ], [ ""同郷（どうきょう）"", ""from the same birthplace"" ], [ ""望郷（ぼうきょう）"", ""homesickness, nostalgia"" ], [ ""愛郷心（あいきょうしん）"", ""love of one's hometown"" ], [ ""帰郷する（ききょうする）"", ""return to one's home"" ], [ ""近郷（きんごう）"", ""neighboring districts"" ] ]","キョウ, ゴウ",さと,くに,"home town, village, native place, district",1.0,11.0,1077.0,6.0,"艮, 邦, 幺"
警,kei(satsu),"[ [ ""警察（けいさつ）"", ""police"" ], [ ""警官（けいかん）"", ""police officer"" ], [ ""警備（けいび）"", ""defense, guard, policing"" ], [ ""警部（けいぶ）"", ""police inspector"" ], [ ""警報（けいほう）"", ""alarm, warning"" ], [ ""警鐘（けいしょう）"", ""alarm bell, fire bell"" ], [ ""警視庁（けいしちょう）"", ""police headquarters"" ], [ ""婦警（ふけい）"", ""policewoman"" ], [ ""県警（けんけい）"", ""prefectural police"" ], [ ""警告する（けいこくする）"", ""warn, advice"" ], [ ""警戒する（けいかいする）"", ""warn, be vigilant [v.t.]"" ] ]",ケイ,いまし.める,,"admonish, commandment",2.0,19.0,366.0,6.0,"言, 口, 勹, 夂, 艾, 攵, 乞"
穴,ana,"[ [ ""墓穴（ぼけつ）"", ""grave [n.]"" ], [ ""穴（あな）"", ""hole"" ], [ ""洞穴（ほらあな）"", ""cave, grotto"" ], [ ""落とし穴（おとしあな）"", ""pitfall, trap, pit"" ] ]",ケツ,あな,"けな, しし, な","hole, aperture, slit, cave, den",1.0,5.0,1366.0,6.0,"穴, ハ, 宀, 儿"
絹,kinu,"[ [ ""絹布（けんぷ）"", ""silk, silk cloth"" ], [ ""正絹（しょうけん）"", ""pure silk"" ], [ ""絹（きぬ）"", ""silk"" ], [ ""絹糸（きぬいと）"", ""silk thread"" ], [ ""絹織物（きぬおりもの）"", ""silk goods"" ] ]",ケン,きぬ,,silk,1.0,13.0,1916.0,6.0,"月, 口, 糸, 幺, 小"
憲,(gou)ken(teki),"[ [ ""憲法（けんぽう）"", ""constitution"" ], [ ""憲章（けんしょう）"", ""charter"" ], [ ""違憲（いけん）"", ""unconstitutionality"" ], [ ""立憲（りっけん）"", ""constitutionalism"" ], [ ""立憲政治（りっけんせいじ）"", ""constitutional government"" ], [ ""合憲的な（ごうけんてきな）"", ""constitutional"" ] ]",ケン,,"かず, のり, よし","constitution, law",1.0,16.0,551.0,6.0,"心, 土, 買, 亠, 宀, 二"
源,minamoto,"[ [ ""源泉（げんせん）"", ""source"" ], [ ""源氏物語（げんじものがたり）"", ""the Tale of the Genji"" ], [ ""源平合戦（げんぺいがっせん）"", ""battle b/t Genji & Heike clans"" ], [ ""根源（こんげん）"", ""root, source, origin"" ], [ ""起源（きげん）"", ""origin, beginning"" ], [ ""語源（ごげん）"", ""word root, etymology"" ], [ ""資源（しげん）"", ""natural resources"" ], [ ""財源（ざいげん）"", ""financial resources"" ], [ ""震源（しんげん）"", ""epicenter (of earthquake)"" ], [ ""栄養源（えいようげん）"", ""source of nutrients"" ], [ ""源（みなもと）"", ""source, origin"" ] ]",ゲン,みなもと,"はら, みな, もと","source, origin",1.0,13.0,738.0,6.0,"汁, 小, 白, 厂"
堂,(shoku)dou,"[ [ ""食堂（しょくどう）"", ""dining hall"" ], [ ""議事堂（ぎじどう）"", ""Diet building"" ], [ ""講堂（こうどう）"", ""auditorium"" ] ]",ドウ,,,"public chamber, hall",3.0,11.0,1010.0,5.0,"口, 尚, 土, 冖"
己,onore,"[ [ ""自己（じこ）"", ""self, oneself"" ], [ ""利己主義（りこしゅぎ）"", ""egoism, selfishness"" ], [ ""知己（ちき）"", ""acquaintance, friend"" ], [ ""克己心（こっきしん）"", ""spirit of self-denial/self-control"" ], [ ""己（おのれ）"", ""oneself, you [insulting]"" ] ]","コ, キ","おのれ, つちのと, な","し, み",self,1.0,3.0,1098.0,6.0,已
后,(koutai)gou,"[ [ ""皇后（こうごう）"", ""empress"" ], [ ""皇后陛下（こうごうへいか）"", ""her majesty the Empress"" ], [ ""皇太后（こうたいごう）"", ""Queen Mother"" ] ]","コウ, ゴ",きさき,,"empress, queen, after, behind, back, later",1.0,6.0,1583.0,6.0,"ノ, 一, 斤, 口, 亅, 厂"
孝,(oya)kou(kou),"[ [ ""忠孝（ちゅうこう）"", ""loyalty and filial piety"" ], [ ""親孝行な（おやこうこうな）"", ""having filial piety [adj.]"" ], [ ""親不孝な（おやふこうな）"", ""lacking filial piety [adj.]"" ], [ ""孝行する（こうこうする）"", ""exercise filial piety [v.i.]"" ] ]","コウ, キョウ",,"たか, たかし, のり, よし","filial piety, child's respect",1.0,7.0,1030.0,6.0,"子, 老"
紅,beni,"[ [ ""紅白（こうはく）"", ""red and white, auspicious colors"" ], [ ""紅梅（こうばい）"", ""red-blossomed plum tree"" ], [ ""紅葉（こうよう）"", ""autumn colors"" ], [ ""紅茶（こうちゃ）"", ""black tea"" ], [ ""深紅（しんく）"", ""deep crimson"" ], [ ""紅色（べにいろ）"", ""red color"" ], [ ""紅花（べにばな）"", ""safflower"" ], [ ""口紅（くちべに）"", ""lipstick"" ], [ ""紅（くれない）"", ""deep red, crimson"" ], [ ""*紅葉（もみじ）"", ""Japanese maple"" ] ]","コウ, ク","べに, くれない, あか.い","くれ, もみ","crimson, deep red",2.0,9.0,1299.0,6.0,"工, 糸, 幺, 小"
鋼,hagane,"[ [ ""鋼材（こうざい）"", ""material made from steel"" ], [ ""鋼板（こうはん）"", ""steel sheet, steel plate"" ], [ ""鋼管（こうかん）"", ""steel pipe"" ], [ ""製鋼（せいこう）"", ""steel manufacture"" ], [ ""鉄鋼（てっこう）"", ""iron and steel"" ], [ ""鋼（はがね）"", ""steel"" ], [ ""鋼色（はがねいろ）"", ""steel blue"" ] ]",コウ,はがね,,steel,1.0,16.0,1246.0,6.0,"金, 并, 冂, 山, 岡"
刻,kiza(mu),"[ [ ""刻印（こくいん）"", ""carved seal"" ], [ ""刻一刻（こくいっこく）"", ""moment by moment"" ], [ ""彫刻（ちょうこく）"", ""carving, engraving, sculpture"" ], [ ""時刻（じこく）"", ""time, moment"" ], [ ""定刻（ていこく）"", ""appointed time"" ], [ ""即刻（そっこく）"", ""immediately, at once, instantly"" ], [ ""夕刻（ゆうこく）"", ""evening, evening hour"" ], [ ""深刻な（しんこくな）"", ""serious"" ], [ ""遅刻する（ちこくする）"", ""be late [v.i.]"" ], [ ""刻む（きざむ）"", ""mince, carve, chop up, hash"" ], [ ""小刻みに（こきざみに）"", ""bit by bit"" ], [ ""五分刻みに（ごふんきざみに）"", ""every 5 minutes"" ] ]",コク,"きざ.む, きざ.み",,"engrave, cut fine, chop, hash, mince, time, carving",2.0,8.0,866.0,6.0,"刈, 亠, 人, ノ, 丶"
穀,koku(motsu),"[ [ ""穀物（こくもつ）"", ""grain, cereal"" ], [ ""穀類（こくるい）"", ""grains"" ], [ ""穀倉（こくそう）"", ""granary"" ], [ ""五穀（ごこく）"", ""the 5 grains"" ], [ ""脱穀機（だっこくき）"", ""grain threshing machine"" ] ]",コク,,たけ,"cereals, grain",1.0,14.0,1744.0,6.0,"禾, 士, 冖, 殳, 几, 又"
砂,suna,"[ [ ""砂漠（さばく）"", ""desert"" ], [ ""砂丘（さきゅう）"", ""sand dune, sand hill"" ], [ ""砂州（さす）"", ""reef, sandbar, sandbank"" ], [ ""砂糖（さとう）"", ""sugar"" ], [ ""砂金（さきん）"", ""gold dust"" ], [ ""土砂（どしゃ）"", ""earth and sand"" ], [ ""土砂崩れ（どしゃくずれ）"", ""landslide"" ], [ ""砂（すな）"", ""sand"" ], [ ""砂地（すなち）"", ""sandy soil"" ], [ ""砂場（すなば）"", ""sand pit"" ], [ ""砂浜（すなはま）"", ""sandy beach"" ], [ ""*砂利（じゃり）"", ""gravel"" ] ]","サ, シャ",すな,"いさ, ご",sand,2.0,9.0,1146.0,6.0,"ノ, 口, 小, 石"
裁,sai-saba(ku),"[ [ ""裁判（さいばん）"", ""trial, judgment"" ], [ ""裁判所（さいばんしょ）"", ""court, courthouse"" ], [ ""裁縫（さいほう）"", ""sewing"" ], [ ""裁量（さいりょう）"", ""discretion"" ], [ ""洋裁（ようさい）"", ""dressmaking"" ], [ ""制裁（せいさい）"", ""restraint, sanctions, punishment"" ], [ ""体裁（ていさい）"", ""appearance, format, decency"" ], [ ""独裁（どくさい）"", ""dictatorship, despotism"" ], [ ""総裁（そうさい）"", ""president"" ], [ ""仲裁する（ちゅうさいする）"", ""arbitrate, intercede"" ], [ ""裁つ（たつ）"", ""cut [v.t.]"" ], [ ""裁く（さばく）"", ""judge [v.t.]"" ] ]",サイ,"た.つ, さば.く",,"tailor, judge, decision, cut out (pattern)",1.0,12.0,297.0,6.0,"土, 亠, 厶, 戈, 衣"
策,(zengo)saku,"[ [ ""策（さく）"", ""plan, policy"" ], [ ""策略（さくりゃく）"", ""scheme, tactic, strategy"" ], [ ""策士（さくし）"", ""intriguer, tactician, schemer"" ], [ ""対策（たいさく）"", ""counter-plan, counter-measure"" ], [ ""政策（せいさく）"", ""government policy"" ], [ ""方策（ほうさく）"", ""plan, policy"" ], [ ""善後策（ぜんごさく）"", ""remedy, countermeasure"" ] ]",サク,,,"scheme, plan, policy, step, means",1.0,12.0,209.0,6.0,"｜, 巾, 竹, ハ, 木, 亅, 冂, 乞"
話,wa-hana(su),"[ [ ""電話（でんわ）"", ""telephone"" ], [ ""会話（かいわ）"", ""conversation"" ], [ ""話題（わだい）"", ""topic"" ], [ ""童話（どうわ）"", ""fairy tale"" ], [ ""話す（はなす）"", ""speak"" ], [ ""話し方（はなしかた）"", ""way of talking"" ], [ ""話（はなし）"", ""story, conversation"" ], [ ""話し中（はなしちゅう）"", ""while talking, the line is busy"" ], [ ""笑い話（わらいばなし）"", ""funny story"" ], [ ""昔話（むかしばなし）"", ""folklore"" ] ]",ワ,"はな.す, はなし",,"tale, talk",4.0,13.0,134.0,2.0,"言, 口, 舌"
蚕,kaiko,"[ [ ""蚕糸（さんし）"", ""silk thread, silk yarn"" ], [ ""養蚕（ようさん）"", ""sericulture, silkworm culture"" ], [ ""蚕食する（さんしょくする）"", ""encroach, invade"" ], [ ""蚕（かいこ）"", ""silkworm"" ] ]","サン, テン","かいこ, こ",,silkworm,1.0,10.0,2272.0,6.0,"一, 大, 虫, 二"
至,shi-ita(ru),"[ [ ""至急（しきゅう）"", ""urgent, pressing"" ], [ ""至上（しじょう）"", ""supremacy"" ], [ ""至難（しなん）"", ""most difficult, next to impossible"" ], [ ""至極（しごく）"", ""very, extremely, exceedingly"" ], [ ""夏至（げし）"", ""summer solstice"" ], [ ""冬至（とうじ）"", ""winter solstice"" ], [ ""必至（ひっし）"", ""inevitable, desperate"" ], [ ""至る（いたる）"", ""come, arrive"" ], [ ""至る所（いたるところ）"", ""everywhere"" ] ]",シ,いた.る,"のぶ, のり, みち, よし","climax, arrive, proceed, reach, attain, result in",1.0,6.0,996.0,6.0,"一, 至, 土, 厶"
姿,sugata,"[ [ ""姿勢（しせい）"", ""attitude, posture"" ], [ ""姿態（したい）"", ""figure, form, style"" ], [ ""容姿（ようし）"", ""appearance, figure"" ], [ ""雄姿（ゆうし）"", ""gallant figure"" ], [ ""姿（すがた）"", ""figure, shape, appearance"" ], [ ""姿見（すがたみ）"", ""full-length mirror"" ], [ ""後ろ姿（うしろすがた）"", ""back view"" ] ]",シ,すがた,しな,"figure, form, shape",1.0,9.0,441.0,6.0,"欠, 女, 冫"
視,shi(ya),"[ [ ""視野（しや）"", ""field of vision, outlook"" ], [ ""視界（しかい）"", ""field of vision"" ], [ ""視力（しりょく）"", ""eyesight"" ], [ ""視点（してん）"", ""point of view"" ], [ ""視聴者（しちょうしゃ）"", ""viewer, audience"" ], [ ""警視庁（けいしちょう）"", ""police headquarters"" ], [ ""近視（きんし）"", ""shortsightedness"" ], [ ""視察する（しさつする）"", ""inspect, observe"" ], [ ""軽視する（けいしする）"", ""think little of, ignore, slight"" ], [ ""無視する（むしする）"", ""disregard, ignore"" ], [ ""監視する（かんしする）"", ""observe, guard, inspect"" ], [ ""重視する（じゅうしする）"", ""regard highly"" ] ]",シ,み.る,"とも, み","inspection, regard as, see, look at",1.0,11.0,362.0,6.0,"見, 礼"
